source,name,disposition,flag_confirmed,planet_class,ra,dec,pl_rade,pl_masse,pl_density,pl_orbper,pl_insol,pl_eqt,st_teff,st_logg,st_rad,stellar_flux_proxy,distance_pc,mag
TESS,TOI-6789.01,CANDIDATE,0,Neptune+,3081987170.0,-446633260.0,29210000.0,37125111.796431676,8.212615184383328e-15,42221583.0,70980000000.0,79312300.0,126442000.0,4470500000.0,55898000000.0,7.986527022488262e+53,11660000000.0,3078570000.0
TESS,TOI-679.01,FALSE POSITIVE,0,Neptune+,1554360020.0,-172243640.0,54820000.0,64605032.22716777,2.162009651414529e-15,111755425.0,78730000000.0,175706000.0,99902800.0,3206710000.0,66550000000.0,4.411708016952493e+53,11540000000.0,2949100000.0
TESS,TOI-6790.01,CANDIDATE,0,Neptune+,3044018270.0,-470965600.0,36890000.0,45591052.32182582,5.006820542408749e-15,61030299.0,133350000000.0,163974000.0,126118000.0,6914230000.0,60570000000.0,9.281612807444013e+53,11560000000.0,2969440000.0
TESS,TOI-6791.01,CANDIDATE,0,Neptune+,2995430660.0,-538724320.0,17600000.0,23771202.280518584,2.403928347383276e-14,188224069.0,133880000000.0,125063000.0,129998000.0,5788790000.0,56610000000.0,9.152357863124603e+53,4410000000.0,63359800.0
TESS,TOI-6792.01,CANDIDATE,0,Neptune+,3083407890.0,-294416130.0,32360000.0,40626320.59867184,6.609830565849085e-15,79605908.0,60400000000.0,59434400.0,123197000.0,2670860000.0,50815000000.0,5.94818392845451e+53,8070000000.0,704881000.0
TESS,TOI-6793.01,CANDIDATE,0,Earth-like,3230403900.0,-774269020.0,0.786,0.4102640097704969,4.658050115252092,65516113.0,67170000000.0,70105100.0,124415000.0,2132360000.0,48418000000.0,5.617003154474576e+53,4540000000.0,70934900.0
TESS,TOI-6794.01,CANDIDATE,0,Neptune+,2963555540.0,-345343990.0,64390000.0,74432090.04090743,1.5371396079503148e-15,73099457.0,44840000000.0,124526000.0,122270000.0,9457800000.0,63910000000.0,9.128875494355649e+53,15280000000.0,9060640000.0
TESS,TOI-6795.01,CANDIDATE,0,Neptune+,2916889160.0,-368313520.0,28970000.0,36856549.62923136,8.357522696384342e-15,21250402.0,83180000000.0,126314000.0,132392000.0,6892890000.0,53550000000.0,8.809797423175915e+53,15580000000.0,9794540000.0
TESS,TOI-6796.01,CANDIDATE,0,Neptune+,2899000260.0,-358094070.0,32570000.0,40858237.403910205,6.519806796653825e-15,37871416.0,67220000000.0,89172300.0,131197000.0,6140470000.0,55940000000.0,9.271298026349991e+53,13120000000.0,4919430000.0
TESS,TOI-6797.01,CANDIDATE,0,Neptune+,3043950690.0,-288213690.0,13520000.0,18847748.959697627,4.204726851453616e-14,0.9898852,49140000000.0,114457000.0,131505000.0,8030740000.0,53390000000.0,8.5248923619387e+53,15830000000.0,10441700000.0
TESS,TOI-6798.01,CANDIDATE,0,Neptune+,3309580610.0,-724408300.0,119660000.0,128408897.93895186,4.1319637015012526e-16,223751134.0,68290000000.0,128125000.0,102912000.0,2904800000.0,64777000000.0,4.706583144296847e+53,11920000000.0,3354930000.0
TESS,TOI-6799.01,CANDIDATE,0,Earth-like,3126962690.0,-589433020.0,0.66,0.21493768229533913,4.121821017220638,0.664786,12150000000.0,53678500.0,117301000.0,4723180000.0,63330000000.0,7.593217398144825e+53,16180000000.0,11377600000.0
TESS,TOI-680.01,CANDIDATE,0,Earth-like,1791636010.0,-123775190.0,0.9778227,0.9203699402602155,5.427382813814717,0.433569,7419430791.0,48760213.0,89820700.0,1634100000.0,59670000000.0,2.3174897234178834e+53,32596904316.0,266824947351.0
TESS,TOI-6800.01,CANDIDATE,0,Neptune+,2872587610.0,-411000820.0,26530000.0,34110554.5505435,1.0071297026691681e-14,41518071.0,15560000000.0,102109000.0,116114000.0,9161100000.0,67020000000.0,8.164830854021656e+53,13770000000.0,5969990000.0
TESS,TOI-6801.01,CANDIDATE,0,Neptune+,3081850810.0,-445812390.0,10910000.0,15605790.790602144,6.625518992601779e-14,12245052.0,245840000000.0,196011000.0,120887000.0,1433470000.0,43374000000.0,4.017698568875488e+53,11620000000.0,3027650000.0
TESS,TOI-6802.01,CANDIDATE,0,Neptune+,3121310660.0,-364323450.0,11060000.0,15794450.159514042,6.436466383175394e-14,11079142.0,360190000000.0,127389000.0,148107000.0,,39690000000.0,7.579918538733036e+53,10170000000.0,1777280000.0
TESS,TOI-6803.01,CANDIDATE,0,Neptune+,3050275540.0,-481295330.0,19340000.0,25827459.74836334,1.9684330971886532e-14,33522572.0,69190000000.0,109307000.0,123544000.0,5947910000.0,59510000000.0,8.250239086114942e+53,11370000000.0,2778250000.0
TESS,TOI-6804.01,CANDIDATE,0,Neptune+,3065828010.0,-489847980.0,20990000.0,27756899.052874334,1.654786635311914e-14,37724643.0,87960000000.0,130104000.0,120533000.0,5455220000.0,61700000000.0,8.035153768360337e+53,11370000000.0,2777640000.0
TESS,TOI-6805.01,CANDIDATE,0,Earth-like,2923840760.0,-340969270.0,0.979,0.9244766781951689,5.431956192086975,10404250.0,95680000000.0,116289000.0,132735000.0,3457140000.0,47500000000.0,7.003724203828671e+53,14480000000.0,7298670000.0
