"toi","tid","tfopwg_disp","rastr","ra","decstr","dec","st_pmra","st_pmdec","pl_tranmid","pl_orbper","pl_trandurh","pl_trandep","pl_rade","pl_insol","pl_eqt","st_tmag","st_dist","st_teff","st_logg","st_rad","toi_created","rowupdate"
"5089.01","330687113","KP","09h05m57.46s","1364894 260","+16d19m31.85s","163255 150","-92380 000","-95380 000","24595031236 080","51138 350","24556 787","12903750 314","56708 634","8322294 086","13698736 571","109990 000","3718230 000","63157000 000","41700 000","15087 600","06.01.2022 23:46","25.11.2024 16:02"
"509.01","453211454","CP","07h51m41.91s","1179246 420","+09d23m06.87s","93852 410","-787970 000","-1887060 000","24602699749 970","90588 209","33420 000","8750000 000","26760 700","928390 000","8640000 000","79259 000","489739 000","55602600 000","44380 000","0.9600000","15.03.2019 15:42","04.01.2024 10:08"
"509.02","453211454","CP","07h51m41.91s","1179246 420","+09d23m06.87s","93852 410","-787970 000","-1887060 000","24602590483 690","214003 129","53847 459","9607539 877","30010 426","352811 724","6215921 220","79259 000","489739 000","55602600 000","44380 000","0.9623240","11.03.2021 23:41","04.01.2024 10:08"
"5090.01","184892124","KP","08h42m39.4s","1306641 650","+19d24m51.7s","194143 600","-368050 000","-131330 000","24595006691 140","19828 041","11139 386","1321050435 175","108910 702","206170 397","5434709 395","160573 000","1857310 000","32130000 000","49334 700","0.2930470","06.01.2022 23:46","26.11.2024 16:02"
"5091.01","438073782","PC","06h22m32.41s","956350 620","+14d01m03.48s","140176 320","-65360 000","-73170 000","24595468288 970","36413 702","37050 000","113400000 000","164955 000","13401300 000","16850000 000","114438 000","5005110 000","68320000 000","42575 000","15000 000","06.01.2022 23:46","20.02.2024 12:03"
"5092.01","90853136","APC","06h46m30.14s","1016255 730","+28d50m28.46s","288412 380","237270 000","-43090 000","24595462168 630","23626 901","14468 336","47440800 285","69577 388","3403343 305","10954591 558","116786 000","1895750 000","52224400 000","46315 100","0.7550470","06.01.2022 23:46","22.02.2024 12:02"
"5093.01","63189173","KP","07h53m55.96s","1184831 500","+23d56m17.59s","239382 190","-236550 000","-14670 000","24595010016 690","22984 058","20873 186","308320537 335","137058 869","2037820 374","9636320 245","128033 000","2021520 000","42215400 000","44573 300","0.7945840","06.01.2022 23:46","26.11.2024 16:02"
"5094.01","19028197","KP","07h59m05.64s","1197735 020","+15d23m28.35s","153912 090","-1857340 000","-572630 000","24595005357 400","33366 511","18580 034","67658704 326","41305 078","296583 759","5951913 226","102479 000","294214 000","35520000 000","47400 000","0.4996980","06.01.2022 23:46","26.11.2024 16:02"
"5095.01","434226736","KP","04h13m05.74s","632739 350","+15d14m51.73s","152477 030","1221480 000","-183370 000","24595017751 760","34845 543","0.9158601","137055317 992","42083 193","95041 407","4478143 065","130275 000","449565 000","32040000 000","49366 800","0.2902160","06.01.2022 23:46","25.11.2024 16:02"
"5096.01","26826078","KP","07h27m39.94s","1119164 300","+24d20m10.03s","243361 190","-49850 000","-962350 000","24602852526 690","28753 183","16150 000","236760000 000","111331 000","851168 000","8460000 000","102832 000","710374 000","46040000 000","46400 000","0.6800000","06.01.2022 23:46","17.01.2024 10:08"
"5097.01","203214081","KP","08h58m52.52s","1347188 510","+21d04m29.27s","210747 960","1755120 000","-3184690 000","24602618033 570","57459 945","11850 000","36500000 000","20608 100","39982 800","3930000 000","115219 000","279276 000","34130000 000","49100 000","0.3200000","06.01.2022 23:46","01.02.2024 16:02"
"5098.01","14770122","KP","07h35m01.98s","1137582 530","+17d49m48.1s","178300 280","11210 000","-85920 000","24595003821 370","35438 732","42332 052","108929403 038","191202 757","19156933 754","16873347 430","118887 000","6970040 000","64660000 000","40744 400","17462 400","06.01.2022 23:46","26.11.2024 16:02"
"5099.01","91481801","PC","02h59m10.45s","447935 600","+19d59m23.04s","199897 340","523900 000","-245070 000","24594478035 760","144507 561","13457 797","8676358 458","62516 257","4626827 000","11828796 624","69762 000","931501 000","67613200 000","39687 800","20669 501","06.01.2022 23:46","18.11.2024 10:08"
"510.01","238086647","APC","06h59m50.16s","1049589 800","-49d30m26.93s","-495074 800","1032220 000","-698670 000","24600113163 650","13523 942","0.5120000","3710000 000","28288 300","2520460 000","11100000 000","84633 000","930994 000","59150000 000","41283 000","12900 000","18.03.2019 17:05","04.04.2023 16:02"
"5100.01","349582831","PC","04h27m44.4s","669349 840","+33d05m10.59s","330862 740","11680 000","-139900 000","24595006909 360","34532 143","24452 410","131533310 188","169569 136","9588135 146","14192316 453","124261 000","5137560 000","60280000 000","42444 000","13226 399","06.01.2022 23:46","15.11.2024 16:02"
"5101.01","366410512","KP","08h25m57.17s","1264882 110","+11d30m39.93s","115110 930","-159680 000","-95240 000","24602478200 340","101367 283","53410 000","10590000 000","54411 900","9922580 000","15630000 000","116718 000","5186250 000","62830000 000","41717 700","15100 000","06.01.2022 23:46","17.01.2024 10:08"
"5102.01","82508808","APC","08h12m36.52s","1231521 650","+17d55m48.44s","179301 230","-157950 000","-289330 000","24595005054 230","0.4522013","0.5773712","153516498 068","79172 286","7312387 223","13262779 363","150155 000","3794300 000","37390000 000","46228 000","0.6339460","06.01.2022 23:46","05.04.2023 12:02"
"5103.01","366443576","APC","08h26m29.77s","1266240 430","+10d33m19.34s","105553 710","-79240 000","-73360 000","24595700844 770","49898 664","10370 000","18500000 000","91280 000","1670320 000","10010000 000","115679 000","5284690 000","62420000 000","40900 000","16300 000","06.01.2022 23:46","19.04.2022 12:02"
"5104.01","415443327","PC","05h03m01.06s","757544 320","+11d26m57.21s","114492 260","41180 000","-15620 000","24595016303 620","48903 760","39844 446","120394608 136","161683 559","7963219 695","13548522 096","137667 000","10262800 000","62780000 000","42077 100","14458 801","25.01.2022 21:39","05.04.2023 12:02"
"5105.01","203287192","PC","09h04m40.78s","1361699 010","+20d55m53.21s","209314 480","-160070 000","-11440 000","24602776665 160","44455 436","41520 000","58390000 000","158181 000","9059970 000","15280000 000","121476 000","9233540 000","63558000 000","38900 000","21100 000","25.01.2022 21:39","02.02.2024 10:08"
"5106.01","59351345","PC","05h57m09.18s","892882 320","+14d52m44.37s","148789 930","0.2600000","41160 000","24602576999 280","24361 097","10950 000","8400000 000","77974 100","8073750 000","14850000 000","100704 000","4504900 000","71825000 000","39100 000","23300 000","25.01.2022 22:18","03.01.2024 16:02"
