"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"5688683","K04097.01","Kepler-1939 b","CONFIRMED","CANDIDATE","0.9850","0","0","0","0","2790643 481","1331555 000","0.7870","0.68710","2.02E+6","0.99","816.0","104.74","20.20","1","q1_q17_dr25_tce","4353.00","4.681","0.6030","285690 000","40994 530","13.435"
"6607644","K04159.01","Kepler-1559 b","CONFIRMED","CANDIDATE","0.9870","0","0","0","0","0.971915957","1321650 400","0.5920","160 230","7.37E+5","0.79","1609.0","1591.27","16.70","1","q1_q17_dr25_tce","5196.00","4.458","0.8890","292286 590","42072 460","14.500"
"7610663","K04160.01","Kepler-1560 b","CONFIRMED","CANDIDATE","0.9870","0","0","0","0","3031968 120","1339882 500","0.2870","172 300","8.15E+5","0.90","1269.0","614.20","15.80","1","q1_q17_dr25_tce","5755.00","4.402","0.9930","292784 610","43215 981","13.421"
"5565707","K04161.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","1294056 100","1318610 000","0.3940","0.97000","5.12E+5","May.27","4465.0","93976.84","Jun.40","1","q1_q17_dr25_tce","6635.00","Mar.92","7.1460","299420 170","40738 380","12.855"
"1293031","K04162.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","0","0","0.539365930","1319745 700","0.9880","543 400","1.45E+6","Sep.19","5016.0","149399.93","57.60","1","q1_q17_dr25_tce","6341.00","3.301","May.20","291020 970","36903 648","12.915"
"2859299","K07640.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","1","0","0.643703667","1319849 080","0.0360","0.80100","1.72E+6","Jan.48","2358.0","7305.66","40.30","1","q1_q17_dr25_tce","6161.00","4.362","1.1140","292883 420","38074 951","13.791"
"7449554","K02357.02","","CANDIDATE","CANDIDATE","Jan.00","0","0","0","0","15904240 200","1315005 100","0.8760","209 300","4.45E+6","Mar.79","863.0","131.11","13.30","2","q1_q17_dr25_tce","5583.00","Apr.77","Jan.00","293203 770","43057 011","15.610"
"4067110","K04026.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","1","0","0.735146413","1314995 300","Jan.20","505 300","2.75E+6","168.34","5366.0","195250.90","78.00","1","q1_q17_dr25_tce","6611.00","3.112","Jul.50","294088 960","39128 101","12.855"
"8694309","K04027.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","0.827351796","1319238 100","0.5440","218 850","4.47E+5","0.90","2208.0","5583.73","30.60","1","q1_q17_dr25_tce","5609.00","4.141","Jan.00","293806 700","44867 352","12.900"
"8282651","K02193.02","","CANDIDATE","CANDIDATE","","0","0","0","0","4162887 450","1316787 500","0.4265","0.67800","3.92E+6","Jan.32","763.0","80.23","Dec.00","","","4478.00","4.615","0.6510","284107 790","44245 811","15.658"
